angle,curLapTime,damage,distFromStart,distRaced,fuel,gear,lastLapTime,racePos,rpm,speedX,speedY,speedZ,trackPos,wheelSpinVel_0,wheelSpinVel_1,wheelSpinVel_2,wheelSpinVel_3,z,focus_0,focus_1,focus_2,focus_3,focus_4,accel,brake,clutch,gear.1,steer,focus_0.1,focus_1.1,focus_2.1,focus_3.1,focus_4.1,meta,sector,lap,avg_speed,min_speed,max_brake,brake_start,brake_duration,sector_time,throttle_reapply
0.033826,33.006,0,932.323,942.323,92.9972,4,0,1,6564.29,153.322,2.30723,-0.0438923,0.823699,128.277,129.205,132.604,132.604,0.333312,-1,-1,-1,-1,-1,0.9,0,0,4,-0.034764285,-90,-45,0,45,90,0,3,3,179.96,179.7,0,,0,5.984,850.32
0.151928,34.006,0,975.758,985.758,92.9667,3,0,1,8064.95,148.988,6.55923,0.047559,0.730507,112.135,116.831,123.405,125.028,0.332666,-1,-1,-1,-1,-1,0.9,0.3,0,3,-0.154007,-90,-45,0,45,90,0,3,2,149.69,149.28,0,,0,6.996,852.75
0.151928,34.006,0,975.758,985.758,92.9667,3,0,1,8064.95,148.988,6.55923,0.047559,0.730507,112.135,116.831,123.405,125.028,0.332666,-1,-1,-1,-1,-1,0.9,0.3,0,3,-0.154007,-90,-45,0,45,90,0,3,3,179.96,179.7,0,,0,5.984,850.32
0.156664,35.006,0,1012.48,1022.48,92.9365,3,0,1,6615.47,121.679,1.64756,0.641065,-0.472822,93.8314,96.8977,105.027,105.027,0.336944,-1,-1,-1,-1,-1,0.9,0.3,0,3,-0.140539,-90,-45,0,45,90,0,3,2,149.69,149.28,0,,0,6.996,852.75
0.156664,35.006,0,1012.48,1022.48,92.9365,3,0,1,6615.47,121.679,1.64756,0.641065,-0.472822,93.8314,96.8977,105.027,105.027,0.336944,-1,-1,-1,-1,-1,0.9,0.3,0,3,-0.140539,-90,-45,0,45,90,0,3,3,179.96,179.7,0,,0,5.984,850.32
-0.113189,36.006,0,1044.82,1054.82,92.9026,2,0,1,8050.33,105.535,1.00762,0.608949,-0.722975,86.0652,88.7932,94.1354,94.1354,0.340009,-1,-1,-1,-1,-1,0.9,0.056572,0,2,-0.163144,-90,-45,0,45,90,0,3,2,149.69,149.28,0,,0,6.996,852.75
-0.113189,36.006,0,1044.82,1054.82,92.9026,2,0,1,8050.33,105.535,1.00762,0.608949,-0.722975,86.0652,88.7932,94.1354,94.1354,0.340009,-1,-1,-1,-1,-1,0.9,0.056572,0,2,-0.163144,-90,-45,0,45,90,0,3,3,179.96,179.7,0,,0,5.984,850.32
-0.12588,37.006,0,1077.08,1087.08,92.8607,2,0,1,9150.7,119.437,4.81913,0.721774,0.103274,96.4374,99.6978,107.018,107.018,0.337874,-1,-1,-1,-1,-1,0.9,0.06842,0,2,-0.18684,-90,-45,0,45,90,0,3,2,149.69,149.28,0,,0,6.996,852.75
-0.12588,37.006,0,1077.08,1087.08,92.8607,2,0,1,9150.7,119.437,4.81913,0.721774,0.103274,96.4374,99.6978,107.018,107.018,0.337874,-1,-1,-1,-1,-1,0.9,0.06842,0,2,-0.18684,-90,-45,0,45,90,0,3,3,179.96,179.7,0,,0,5.984,850.32
0.0473064,38.006,0,1111.54,1121.54,92.8318,3,0,1,7272.8,132.563,0.0919058,0.950871,0.13443,111.279,111.342,115.426,115.426,0.336455,-1,-1,-1,-1,-1,0.9,0,0,3,-0.0029452,-90,-45,0,45,90,0,3,2,149.69,149.28,0,,0,6.996,852.75
0.0473064,38.006,0,1111.54,1121.54,92.8318,3,0,1,7272.8,132.563,0.0919058,0.950871,0.13443,111.279,111.342,115.426,115.426,0.336455,-1,-1,-1,-1,-1,0.9,0,0,3,-0.0029452,-90,-45,0,45,90,0,3,3,179.96,179.7,0,,0,5.984,850.32
0.0496514,39.006,0,1150.82,1160.82,92.7942,4,0,1,6421.16,150.243,-0.000836656,0.973985,-0.187589,126.259,126.259,127.419,127.419,0.334076,-1,-1,-1,-1,-1,0.9,0,0,4,-0.0003492,-90,-45,0,45,90,0,4,2,149.77,149.32,0,,0,10,1185.13
0.0496514,39.006,0,1150.82,1160.82,92.7942,4,0,1,6421.16,150.243,-0.000836656,0.973985,-0.187589,126.259,126.259,127.419,127.419,0.334076,-1,-1,-1,-1,-1,0.9,0,0,4,-0.0003492,-90,-45,0,45,90,0,4,3,180.07,179.86,0,,0,8.008,1198.07
0.049672,40.006,0,1193.58,1203.58,92.7673,4,0,1,6834.02,159.97,-0.000929719,1.05917,-0.541904,134.358,134.358,138.05,138.05,0.331377,-1,-1,-1,-1,-1,0.9,0,0,4,-0.000328,-90,-45,0,45,90,0,4,2,149.77,149.32,0,,0,10,1185.13
0.049672,40.006,0,1193.58,1203.58,92.7673,4,0,1,6834.02,159.97,-0.000929719,1.05917,-0.541904,134.358,134.358,138.05,138.05,0.331377,-1,-1,-1,-1,-1,0.9,0,0,4,-0.000328,-90,-45,0,45,90,0,4,3,180.07,179.86,0,,0,8.008,1198.07
0.00464851,41.006,0,1240.26,1250.26,92.7329,4,0,1,7328.16,171.432,1.54242,1.45218,-0.639264,143.498,144.419,148.034,148.034,0.329916,-1,-1,-1,-1,-1,0.9,0,0,4,-0.04523133,-90,-45,0,45,90,0,4,2,149.77,149.32,0,,0,10,1185.13
0.00464851,41.006,0,1240.26,1250.26,92.7329,4,0,1,7328.16,171.432,1.54242,1.45218,-0.639264,143.498,144.419,148.034,148.034,0.329916,-1,-1,-1,-1,-1,0.9,0,0,4,-0.04523133,-90,-45,0,45,90,0,4,3,180.07,179.86,0,,0,8.008,1198.07
