speedX,speedY,speedZ,rpm,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,wheelSpinVel_0,wheelSpinVel_1,wheelSpinVel_2,wheelSpinVel_3,steer,accel,brake
56.3914,-1.57465,1.01752,3272.37,8.52427,8.92188,10.0789,12.5645,18.336,28.0471,38.8063,106.232,83.1316,60.6528,27.3294,16.3205,11.6975,9.16986,6.51381,4.73732,3.93277,3.56977,3.48559,36.017,29.4427,42.8843,33.74,0.081655628284865,0.6,0
58.1229,0.481049,1.06826,4303.39,8.60324,8.93116,9.99306,12.2923,17.5162,25.8801,34.557,112.464,85.9373,65.9875,34.9074,18.494,12.6447,9.66229,6.67672,4.75608,3.89998,3.50764,3.39739,49.156,48.4791,50.319,50.319,0.0782111397994055,0.6,0
60.6101,0.50931,1.17944,4493.43,8.56305,8.81981,9.77951,11.8822,16.5757,23.7839,30.876,44.9109,89.0846,69.7545,47.0914,22.2213,14.3118,10.6145,7.11455,4.95877,4.01564,3.57886,3.43916,51.3115,50.5467,52.5435,52.5435,0.0710836228595839,0.6,0
63.1572,0.461841,1.19539,4684.57,8.42963,8.61496,9.46838,11.3695,15.5519,21.7467,27.5748,38.067,93.004,72.593,53.6123,28.4822,16.913,12.0929,7.82697,5.32783,4.25835,3.75984,3.5845,53.445,52.6342,54.7794,54.7794,0.0606318710017087,0.6,0
65.7603,0.406237,1.23899,4877.99,8.19739,8.31609,9.06514,10.769,14.4766,19.8049,24.638,32.923,97.4517,74.5147,57.5145,37.9718,20.7526,14.2066,8.8477,5.87688,4.63613,4.0562,3.83767,55.6056,54.8623,57.0409,57.0409,0.0472907747011961,0.6,0
68.4205,0.335191,1.30456,5075.49,7.86372,7.92505,8.57642,10.0939,13.371,17.9687,22.021,28.7152,101.97,76.0473,59.7522,43.4018,26.1513,17.0378,10.1928,6.60975,5.15026,4.46816,4.19824,57.7786,57.165,59.3526,59.3526,0.0315684572908373,0.6,0
71.1401,0.248071,1.35248,5279.33,7.43188,7.44985,8.01548,9.36468,12.265,16.2633,19.7142,25.2682,105.481,76.8286,60.4461,45.9426,31.8512,20.5119,11.8195,7.50488,5.78682,4.98529,4.65758,60.019,59.434,61.7349,61.7349,0.0141658151035861,0.6,0
73.9003,0.156706,1.39291,5483.35,6.91234,6.90244,7.39587,8.59619,11.1703,14.6778,17.6634,22.3876,35.4487,76.3592,59.7228,46.6195,34.5049,24.3074,13.6418,8.52334,6.52104,5.58895,5.20006,62.2253,61.875,64.1214,64.1214,-0.0105352294274897,0.6,0
76.6904,0.063604,1.43271,5691.98,6.32425,6.30325,6.74019,7.81444,10.1161,13.2353,15.8733,20.0509,33.2795,73.9633,57.5454,45.6728,35.0802,26.3769,15.4746,9.58891,7.30752,6.24697,5.80043,64.4596,64.3268,66.5589,66.5589,-0.0289046105992428,0.6,0
79.505,-0.0395525,1.54664,5901.11,5.70198,5.6887,6.0895,7.06935,9.16972,12.0242,14.4464,18.6413,96.6781,68.7369,53.642,43.0097,33.852,26.4882,16.8923,10.5592,8.06367,6.90269,6.41617,66.6978,66.8406,69.0053,69.0053,-0.04119677741947,0.6,0
82.3398,-0.0941957,1.61232,6114.03,5.09259,5.09772,5.47645,6.3861,8.33966,11.0311,13.5334,18.6552,85.1323,61.5859,48.532,39.2402,31.4906,25.3768,17.3015,11.3576,8.7328,7.50913,7.00496,68.9516,69.3598,71.4985,71.4985,-0.047898994193629,0,0.5
85.1928,-0.102036,1.6682,6325.66,4.53732,4.56493,4.93098,5.78982,7.6786,10.605,13.724,24.7259,72.3389,53.5649,42.7795,34.8764,28.4845,23.5156,16.8815,11.7453,9.26931,8.03157,7.53282,71.2771,71.7854,73.9724,73.9724,-0.0608760209355403,0,0.5
71.2033,0.766348,1.56727,4171.5,4.08741,4.14318,4.5301,5.43916,7.5725,11.3092,16.5997,88.9576,60.202,45.7587,37.0709,30.4956,25.3083,21.3131,15.9267,11.606,9.45408,8.37511,7.95135,49.1679,51.1273,45.2694,52.4305,-0.0694508396548782,0.6,0
56.6918,1.27116,1.44117,3408.64,3.85763,3.99812,4.48448,5.5794,8.32946,14.6533,112.508,67.7162,48.6988,38.2483,31.4519,26.1462,22.0376,18.8878,14.5997,11.0683,9.2784,8.40766,8.1424,34.6912,38.9112,36.8147,43.0446,-0.0650143452584148,0.6,0
58.276,-0.401482,1.52886,4313.56,3.96022,4.18136,4.79707,6.17727,10.0139,190.031,85.1217,55.1144,40.9799,32.8143,27.1704,22.7887,19.4308,16.8598,13.3351,10.3891,8.89097,8.19559,8.06245,48.525,49.1682,50.4379,50.4379,-0.0514573616808903,0.6,0
